STL_NO,FACTORY,APPEAR_GRADE_STAMP_DATE,DEFECT_CD,SPEC_ABBSYM,SPEC_HEATOUT_AIM,MSLAB_ASGN_GP,MSLAB_T,CC_CCM_NO,PL_HTTRT_ST1_HT_TMP,PL_HTTRT_ST1_INFUR_HR,MANUFACTURING_PROCESS,PLATE_WO_T,PLATE_WO_W,PLATE_WO_L,PL_RGNT_PK_EXN,PL_CTL_MILL_MD,PL_CTL_MILL_MTD_CD,PRPL_MILL_MTD_WO_CD,WIDTH_RATIO,MPL_WO_T,MPL_WO_W,MPL_WO_L,PL_REFUR_EXT_MATL_TMP,PL_REFUR_TOT_INFUR_HR,PL_PSG_MIN_W,SLAB_NO,HEAT_NO,PL_REFUR_NO,PL_MILL_PASS_CNT_1,PL_CTL_MILL_EXN,PL_CTL_MILL_MTD,PL_RM_YN,PL_CTL_MILL_T4_END_TMP_WR_1,PLMILL_MTD_WR_CD,REFUR_EXT_TMP_CAL,PL_CTL_MILL_T3_END_TMP_WR_1,PL_CTL_MILL_T5_END_TMP_WR,PL_SLAB_REALMEA_W,PLMILL_WR_AB_GP,PL_CTL_MILL_T3_ST_TMP_WR,PL_T3_CTL_MILL_FNL_PASS_CNT,PL_T3_CTL_MILL_END_DT,PL_T4_CTL_MILL_ST_DT,PL_T4_CTL_MILL_END_DT,PL_T4_CTL_MILL_FNL_PASS_CNT,PL_MILL_WRK_AB_RSN_CD,PL_CTL_MILL_T4_ST_TMP_WR_2,PL_GDS_AVG_W,PL_GDS_TOT_L...50,PL_WLG_AVG_W,PL_GDS_TOT_L...52,Tensile_Frequecy,TS_TST_SMPL_RGNT_DIR,Tensile_Gagelength,Tensile_Shape,TS_TST_SMPL_RGNT_NUM,C,Si,Mn,P,S,Cu,Sn,Ni,Cr,Mo,As,Tot.Al,V,Nb,Pb,Sol.Al,Ti,Ca,O,N,H,B,Zr,Zn,Sb,Co,W,Mg,Te,Bi,CEQ_WRSLT,PCM_WRSLT,Top_TS_WRSLT,Top_YP_WRSLT,Top_YP_0DOT2_OFFSET,Top_YP_0DOT5_OFFSET,Top_UP_YIELDPOINT,Top_EL_WRSLT,Middle_TS_WRSLT,Middle_YP_WRSLT,Middle_EL_WRSLT,Middle_YP_0DOT2_OFFSET,Middle_YP_0DOT5_OFFSET,Middle_UP_YIELDPOINT,Bottom_TS_WRSLT,Bottom_YP_WRSLT,Bottom_YP_0DOT2_OFFSET,Bottom_YP_0DOT5_OFFSET,Bottom_UP_YIELDPOINT,Bottom_EL_WRSLT,REAGENT_NO,TOP_TS_ADDTST_TS_WR,TOP_TS_ADDTST_YP_WR,TOP_TS_ADDTST_YP02_WR,TOP_TS_ADDTST_YP05_WR,TOP_TS_ADDTST_UPP_YP_WR,TOP_TS_ADDTST_EL_WR,MIDDLE_TS_ADDTST_TS_WR,MIDDLE_TS_ADDTST_YP_WR,MIDDLE_TS_ADDTST_YP02_WR,MIDDLE_TS_ADDTST_YP05_WR,MIDDLE_TS_ADDTST_UPP_YP_WR,MIDDLE_TS_ADDTST_EL_WR,BOTTOM_TS_ADDTST_TS_WR,BOTTOM_TS_ADDTST_YP_WR,BOTTOM_TS_ADDTST_YP02_WR,BOTTOM_TS_ADDTST_YP05_WR,BOTTOM_TS_ADDTST_UPP_YP_WR,BOTTOM_TS_ADDTST_EL_WR,TOP_TS_ADDTST2_TS_WR,TOP_TS_ADDTST2_YP_WR,TOP_TS_ADDTST2_YP02_WR,TOP_TS_ADDTST2_YP05_WR,TOP_TS_ADDTST2_UPP_YP_WR,TOP_TS_ADDTST2_EL_WR,MIDDLE_TS_ADDTST2_TS_WR,MIDDLE_TS_ADDTST2_YP_WR,MIDDLE_TS_ADDTST2_YP02_WR,MIDDLE_TS_ADDTST2_YP05_WR,MIDDLE_TS_ADDTST2_UPP_YP_WR,MIDDLE_TS_ADDTST2_EL_WR,BOTTOM_TS_ADDTST2_TS_WR,BOTTOM_TS_ADDTST2_YP_WR,BOTTOM_TS_ADDTST2_YP02_WR,BOTTOM_TS_ADDTST2_YP05_WR,BOTTOM_TS_ADDTST2_UPP_YP_WR,BOTTOM_TS_ADDTST2_EL_WR,PL_DIV_PL_L,PL_TCS_MEA_T,ARR,PL_MPL_NO,PL_REFUR_REHTBED1_TMP_2,PL_REFUR_REHTBED1_INFUR_HR,PL_REFUR_REHTBED2_TMP_2,PL_REFUR_REHTBED2_INFUR_HR,PL_REFUR_REHTBED3_TMP_2,PL_REFUR_REHTBED3_INFUR_HR,PL_REFUR_SHBED_TMP_2,PL_REFUR_SHBED_INFUR_HR,PL_ACC_LOW_ST_TMP_PRE_AVG_TMP,PL_ACC_LOW_ST_TMP_MID_AVG_TMP,PL_ACC_LOW_ST_TMP_TAI_AVG_TMP,PL_ACC_LOW_ST_TMP_ALL_AVG_TMP,PL_ACC_LOW_ED_TMP_PRE_AVG_TMP,PL_ACC_LOW_ED_TMP_MID_AVG_TMP,PL_ACC_LOW_ED_TMP_TAI_AVG_TMP,PL_ACC_LOW_ED_TMP_ALL_AVG_TMP,PL_ACC_PRE_LOW_SPD,PL_ACC_MID_LOW_SPD,PL_ACC_TAI_LOW_SPD,PL_ACC_PRE_HIGH_ST_TMP_AVG,PL_ACC_MID_HIGH_ST_TMP_AVG,PL_ACC_TAI_HIGH_ST_TMP_AVG,PL_ACC_HIGH_ALL_ST_AVG_TMP,PL_ACC_PRE_HIGH_ED_TMP_AVG,PL_ACC_MID_HIGH_ED_TMP_AVG,PL_ACC_TAI_HIGH_ED_TMP_AVG,PL_ACC_HIGH_ALL_ED_AVG_TMP,PL_DQ_PRE_HIGH_SPD,PL_DQ_MID_HIGH_SPD,PL_DQ_TAI_HIGH_SPD,PL_ACC_SPD,PL_ACCL_LOW_HD_QTY1,PL_ACCL_LOW_HD_QTY2,PL_ACCL_LOW_HD_QTY3,PL_ACCL_LOW_HD_QTY4,PL_ACCL_LOW_HD_QTY5,PL_ACCL_LOW_HD_QTY6,PL_ACCL_LOW_HD_QTY7,PL_ACCL_LOW_HD_QTY8,PL_ACCL_LOW_HD_QTY9,PL_ACCL_LOW_HD_QTY10,PL_ACCL_LOW_HD_QTY11,PL_ACCL_LOW_HD_QTY12,PL_ACCL_LOW_HD_QTY13,PL_ACCL_LOW_HD_QTY14,PL_ACCL_LOW_HD_QTY15,PL_ACCL_UPP_HD_QTY1,PL_ACCL_UPP_HD_QTY2,PL_ACCL_UPP_HD_QTY3,PL_ACCL_UPP_HD_QTY4,PL_ACCL_UPP_HD_QTY5,PL_ACCL_UPP_HD_QTY6,PL_ACCL_UPP_HD_QTY7,PL_ACCL_UPP_HD_QTY8,PL_ACCL_UPP_HD_QTY9,PL_ACCL_UPP_HD_QTY10,PL_ACCL_UPP_HD_QTY11,PL_ACCL_UPP_HD_QTY12,PL_ACCL_UPP_HD_QTY13,PL_ACCL_UPP_HD_QTY14,PL_ACCL_UPP_HD_QTY15,PL_ACCL_LOW_DQ1,PL_ACCL_LOW_DQ2,PL_ACCL_LOW_DQ3,PL_ACCL_LOW_DQ4,PL_ACCL_UPP_DQ1,PL_ACCL_UPP_DQ2,PL_ACCL_UPP_DQ3,PL_ACCL_UPP_DQ4,IMPACT_SYM,IMPACT_TEMP,ADD_IMPACT_SYM,ADD_IMPACT_TEMP,ADD_IMPACT_SYM2,ADD_IMPACT_TEMP2,IMPCTADDTST_SYM3,IMPCTADDTST_TEMP3,RGNT_HTTRT_PWHT_HT_TMP,RGNT_HTTRT_PWHT_TMP_RNG,RGNT_HTTRT_PWHT_HTUP_HR,RGNT_HTTRT_PWHT_NO,RGNT_HTTRT_NMLZNG_HT_TMP,RGNT_HTTRT_NMLZNG_TMP_RNG,RGNT_HTTRT_NMLZNG_HTUP_HR,RGNT_HTTRT_NMLZNG_NO,RGNT_ADDHT_PWHT_HT_TMP,RGNT_ADDHT_PWHT_TMP_RNG,RGNT_ADDHT_PWHT_HTUP_HR,RGNT_ADDHT_PWHT_NO,RGNT_ADDHT_NMLZNG_HT_TMP,RGNT_ADDHT_NMLZNG_TMP_RNG,RGNT_ADDHT_NMLZNG_HTUP_HR,RGNT_ADDHT_NMLZNG_NO,RGNT_ADDHT_PWHT_HT_TMP2,RGNT_ADDHT_PWHT_TMP_RNG2,RGNT_ADDHT_PWHT_HTUP_HR2,RGNT_ADDHT_PWHT_NO2,RGNT_ADDHT_NMLZNG_HT_TMP2,RGNT_ADDHT_NMLZNG_TMP_RNG2,RGNT_ADDHT_NMLZNG_HTUP_HR2,RGNT_ADDHT_NMLZNG_NO2,DWTT_TST_TMP_SYM,DWTT_TST_TMP,REAGENT_PICK_LOC,Z_TS_TST_RA_AVG_WR,Z_TS_ADDTST_RA_AVG_WR,Z_TS_ADDTST_RA_AVG_WR2,IMPACT_WRSLT1,IMPACT_WRSLT2,IMPACT_WRSLT3,IMPACT_AVG_WRSLT,IMPCTADDTST_IMPCT_VAL_EA_WR1,IMPCTADDTST_IMPCT_VAL_EA_WR2,IMPCTADDTST_IMPCT_VAL_EA_WR3,ADD_IMPACT_AVG,IMPCTADDTST2_IMPCT_VAL_EA_WR1,IMPCTADDTST2_IMPCT_VAL_EA_WR2,IMPCTADDTST2_IMPCT_VAL_EA_WR3,ADD_IMPACT2_AVG,IMPCTADDTST3_IMPCT_VAL_EA_WR1,IMPCTADDTST3_IMPCT_VAL_EA_WR2,IMPCTADDTST3_IMPCT_VAL_EA_WR3,ADD_IMPACT3_AVG,DWTT_TST_DCTY_FBR_EA_WR1,DWTT_TST_DCTY_FBR_EA_WR2,DWTT_TST_DCTY_FBR_EA_WR3,DWTT_TST_DCTY_FBR_AVG_WR,HICTCLR_SD_RGNT1_WR1,HICTCLR_SD_RGNT1_WR2,HICTCLR_SD_RGNT1_WR3,HICTCLR_SD_RGNT2_WR1,HICTCLR_SD_RGNT2_WR2,HICTCLR_SD_RGNT2_WR3,HICTCLR_SD_RGNT3_WR1,HICTCLR_SD_RGNT3_WR2,HICTCLR_SD_RGNT3_WR3,HICTCTR_SD_RGNT1_WR1,HICTCTR_SD_RGNT1_WR2,HICTCTR_SD_RGNT1_WR3,HICTCTR_SD_RGNT2_WR1,HICTCTR_SD_RGNT2_WR2,HICTCTR_SD_RGNT2_WR3,HICTCTR_SD_RGNT3_WR1,HICTCTR_SD_RGNT3_WR2,HICTCTR_SD_RGNT3_WR3,NRL_TEMP,NRL_FirstTest,NRL_AddTest,month
FC17952301,1후판,2020/01/25 08:44:09,,AB/EH47-TM,C07190C1GP,L,300,4,,,A,85,1915,8560,Y,2,002,01,1.13,85.357,2023,9126,1007,292,1984,R36918 512,R36918,1,18,제어압연,제어압연(2단),Y,697,1,1035,752,0,1691,B,928,11,20/01/12 00:18:11,20/01/12 00:32:03,20/01/12 00:32:58,7,B,719,,,,,05TCC15,C,70,봉상,15,0.0645,0.148,1.781,0.007,0.001,0.269,0.003,0.71,0.03,0.04,0.005,0.029,0.002,0.03,0.001,0.028,0.013,4e-04,,40,,2e-04,0.002,0.001,0.002,0.005,0,2e-04,5e-04,5e-04,0.441,0.189,606.7,513.4,513.4,514.3,,23,,,,,,,,,,,,,P00376207,609.8,540,532.1,532.4,540,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,45,FC179523,914,85,1110,96,1077,68,1033,42,0,0,0,730,398,0,0,401,4,4,4,725,730,734,730,398,401,403,401,0,0,0,1.33,1638,1663,1717,1722,1731,1687,1728,1705,1740,1726,1714,1653,1720,1579,1723,636,617,612,641,634,646,639,625,636,641,637,645,638,629,639,1956,1961,1957,1955,1046,866,926,981,-,40,-,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,374,390,408,391,342,339,332,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,No,,1
FC17952401,1후판,2020/02/07 21:37:17,,AB/EH47-TM,C07190C1GP,N,300,4,,,A,85,1915,8250,Y,2,002,01,1.13,85.357,2023,8808,951,288,1960,R36922 521,R36922,2,18,제어압연,제어압연(2단),Y,693,1,1038,766,0,1686,B,942,11,20/01/12 00:09:00,20/01/12 00:22:36,20/01/12 00:23:30,7,B,718,,,,,05TCC15,C,70,봉상,15,0.0703,0.13,1.773,0.008,0.001,0.292,0.001,0.67,0.03,0.04,0.005,0.026,0.001,0.03,0.001,0.025,0.015,3e-04,,64,,1e-04,0.001,0.001,0.002,0.004,0,2e-04,5e-04,5e-04,0.444,0.194,628,535.7,535.7,535.8,,23,,,,,,,,,,,,,P00379109,623.1,519.6,519.6,520.6,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,45,FC179524,915,88,1110,93,1101,41,1047,64,0,0,0,724,402,107,107,400,4,4,4,729,724,722,724,402,399,401,400,0,0,0,1.33,1664,1718,1730,1759,1770,1726,1754,1738,1777,1759,1741,1695,1745,1665,1763,634,620,617,648,638,633,644,626,647,644,636,638,639,636,644,1973,2002,2061,1981,913,762,806,854,-,40,-,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,351,290,344,328,358,363,311,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,Break,No,2
FC17952501,1후판,2020/01/24 09:59:52,,AB/EH47-TM,C07190C1GP,L,300,4,,,A,85,1915,8560,Y,2,002,01,1.13,85.357,2023,9126,1036,291,1966,R36918 511,R36918,2,18,제어압연,제어압연(2단),Y,690,1,1037,744,0,1685,B,930,11,20/01/12 00:22:10,20/01/12 00:36:18,20/01/12 00:37:10,7,B,719,,,,,05TCC15,C,70,봉상,15,0.0645,0.148,1.781,0.007,0.001,0.269,0.003,0.71,0.03,0.04,0.005,0.029,0.002,0.03,0.001,0.028,0.013,4e-04,,40,,2e-04,0.002,0.001,0.002,0.005,0,2e-04,5e-04,5e-04,0.441,0.189,617.2,524.3,524.3,524.7,,23,,,,,,,,,,,,,P00376208,618.1,543.6,540.1,540.4,543.6,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.9,45,FC179525,914,86,1110,94,1094,36,1045,73,0,0,0,721,396,0,0,398,4,4,4,715,723,724,721,396,398,400,398,0,0,0,1.33,1658,1679,1719,1732,1737,1700,1734,1718,1748,1741,1722,1672,1734,1596,1735,635,616,615,643,640,643,638,628,641,639,638,638,635,637,640,1959,1948,1953,1958,1045,860,926,978,-,40,-,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,414,377,403,398,260,289,317,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,No,,1
FC17952601,1후판,2020/01/27 15:55:36,,LR-EH47BCA-TM,C07190C1GP,L,300,4,,,A,85,1700,7670,Y,2,002,01,0.89,85.357,1920,13105,1021,299,1752,R36932 013,R36932,1,16,제어압연,제어압연(2단),Y,713,4,1038,802,0,1891,B,922,9,20/01/12 00:14:23,20/01/12 00:28:16,20/01/12 00:29:14,7,B,726,,,,,05TCC15,C,70,봉상,15,0.0617,0.134,1.812,0.0086,9e-04,0.282,0.001,0.69,0.02,0.04,0.005,0.033,0.002,0.03,0.001,0.033,0.014,4e-04,,36,,1e-04,0.001,0.002,0.001,0.004,0.01,1e-04,5e-04,5e-04,0.441,0.187,619.1,534.6,534.6,534.9,,23,,,,,,,,,,,,,P00376406,587.5,483.5,483.5,483.7,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,45,FC179526,915,90,1110,98,1092,42,1041,68,0,0,0,743,416,0,0,416,4,4,4,743,740,752,743,416,415,418,416,0,0,0,1.45,1612,1641,1706,1710,1722,1663,1719,1699,1732,1721,1699,1635,1706,1565,1704,634,604,611,638,635,639,639,621,639,638,640,641,634,624,646,1877,1878,1883,1876,976,859,904,970,-,40,-,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,367,365,367,366,312,313,317,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,No,,1
FC17952701,1후판,2020/01/22 05:17:28,,AB/EH47-TM,C07190C1GP,N,300,4,,,A,85,1710,7660,Y,2,002,01,1.01,85.357,1813,8372,1004,290,1735,R36922 523,R36922,2,16,제어압연,제어압연(2단),Y,725,1,1040,827,0,1686,B,933,9,20/01/12 00:11:27,20/01/12 00:25:17,20/01/12 00:26:08,7,B,715,,,,,05TCC15,C,70,봉상,15,0.0703,0.13,1.773,0.008,0.001,0.292,0.001,0.67,0.03,0.04,0.005,0.026,0.001,0.03,0.001,0.025,0.015,3e-04,,64,,1e-04,0.001,0.001,0.002,0.004,0,2e-04,5e-04,5e-04,0.444,0.194,623.4,529.3,529.3,529.6,,22,,,,,,,,,,,,,P003791A1,618.9,516.9,516.9,518.4,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.9,45,FC179527,915,88,1110,93,1101,41,1047,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,40,-,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,350,273,324,316,260,263,270,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,No,,1
FC17952801,1후판,2020/01/16 02:37:45,,LR-EH47BCA-TM,C07190C1GP,L,300,4,,,A,85,1940,8170,Y,2,002,01,1.14,85.357,2048,8730,987,295,1990,R36922 513,R36922,2,18,제어압연,제어압연(2단),Y,692,1,1040,774,0,1687,B,939,11,20/01/12 00:26:14,20/01/12 00:39:56,20/01/12 00:40:49,7,B,719,,,,,05TCC15,C,70,봉상,15,0.0703,0.13,1.773,0.008,0.001,0.292,0.001,0.67,0.03,0.04,0.005,0.026,0.001,0.03,0.001,0.025,0.015,3e-04,,64,,1e-04,0.001,0.001,0.002,0.004,0,2e-04,5e-04,5e-04,0.444,0.194,621.2,553.1,537.4,537.4,553.1,22,,,,,,,,,,,,,P00379114,596.4,485,485,486.3,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,45,FC179528,914,86,1110,94,1094,36,1044,78,0,0,0,731,398,0,0,402,4,4,4,726,735,725,731,398,403,400,402,0,0,0,1.33,1648,1686,1714,1733,1736,1700,1746,1728,1748,1728,1724,1676,1730,1594,1724,633,615,610,639,637,647,635,626,639,633,640,648,633,632,641,1944,1945,1944,1940,1031,849,912,968,-,40,-,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,351,349,349,350,340,327,330,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,No,,1
FC17952901,1후판,2020/01/22 05:17:22,,LR-EH47BCA-TM,C07190C1GP,L,300,4,,,A,65,1970,8450,Y,2,002,01,1.03,65.299,2068,15905,1016,312,2005,R36932 012,R36932,1,22,제어압연,제어압연(2단),Y,746,1,1038,759,0,1898,B,919,15,20/01/12 00:42:36,20/01/12 00:47:55,20/01/12 00:48:59,7,B,768,,,,,05TCC15,C,70,봉상,15,0.0617,0.134,1.812,0.0086,9e-04,0.282,0.001,0.69,0.02,0.04,0.005,0.033,0.002,0.03,0.001,0.033,0.014,4e-04,,36,,1e-04,0.001,0.002,0.001,0.004,0.01,1e-04,5e-04,5e-04,0.441,0.187,604.2,495.1,495.1,495.6,,23,,,,,,,,,,,,,P00376409,599.9,492.6,492.6,493.4,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.5,44,FC179529,915,85,1110,100,1086,34,1037,92,0,0,0,776,407,99,99,404,6,6,6,779,778,772,776,407,404,402,404,0,0,0,1.69,1594,1632,1650,1654,1636,1613,1642,1621,1657,1642,1611,1561,1620,1604,1641,644,628,625,647,647,646,648,633,646,643,646,647,641,640,654,0,0,0,0,0,0,0,0,-,40,-,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,380,389,363,377,339,342,339,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,No,,1
FC18095901,1후판,2020/01/23 10:27:04,,AB/EH47-TM,C07190C1GP,K,300,4,,,A,85,1915,8250,Y,2,002,01,1.13,85.357,2023,8808,1029,312,1978,R36914 551,R36914,2,18,제어압연,제어압연(2단),Y,694,1,1035,823,0,1684,B,925,11,20/01/15 16:32:02,20/01/15 16:44:42,20/01/15 16:45:32,7,B,720,,,,,05TCC15,C,70,봉상,15,0.0673,0.174,1.83,0.0082,0.001,0.272,0.003,0.71,0.03,0.04,0.006,0.034,0.002,0.032,0.001,0.033,0.012,3e-04,,48,,1e-04,0.002,0.001,0.002,0.005,0,2e-04,5e-04,5e-04,0.452,0.195,655.9,576.8,576.8,576.7,,21,,,,,,,,,,,,,P00925214,612.8,541.9,529.7,530.2,541.9,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,45,FC180959,905,107,1071,71,1085,50,1051,83,0,0,0,716,400,-40,-40,403,4,4,4,712,718,717,716,400,403,406,403,0,0,0,1.42,1571,1285,1292,1558,1216,1501,1164,1164,1116,1076,1397,1626,1509,1006,1067,581,604,573,612,615,584,611,606,608,601,611,619,609,620,612,1759,1764,1763,1769,925,840,908,924,-,40,-,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,394,398,391,394,385,390,391,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,No,,1
FC18096001,1후판,2020/01/27 16:16:25,,LR-EH47BCA-TM,C07190C1GP,N,300,4,,,A,85,1915,9040,Y,2,002,01,1,85.357,2020,9619,1006,327,1983,R36918 032,R36918,1,18,제어압연,제어압연(2단),Y,696,1,1040,746,0,1899,B,926,11,20/01/15 17:06:18,20/01/15 17:18:53,20/01/15 17:19:48,7,B,718,,,,,05TCC15,C,70,봉상,15,0.0645,0.148,1.781,0.007,0.001,0.269,0.003,0.71,0.03,0.04,0.005,0.029,0.002,0.03,0.001,0.028,0.013,4e-04,,40,,2e-04,0.002,0.001,0.002,0.005,0,2e-04,5e-04,5e-04,0.441,0.189,628.6,557.4,552.4,552.9,557.4,22,,,,,,,,,,,,,P00376217,624.3,524.4,524.4,525.2,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,45,FC180960,903,119,1060,59,1116,68,1036,80,0,0,0,732,407,0,0,405,4,4,4,739,737,720,732,407,406,401,405,0,0,0,1.33,1670,1705,1724,1742,1747,1714,1748,1729,1760,1737,1729,1691,1726,1599,1736,636,615,612,645,635,643,638,628,641,637,641,639,631,638,642,2015,2017,2018,2018,1036,845,911,960,-,40,-,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,342,358,348,349,364,328,326,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,No,,1
FC18096101,1후판,2020/02/05 09:24:47,,LR-EH47BCA-TM,C07190C1GP,N,300,4,,,A,85,1915,9040,Y,2,002,01,1,85.357,2020,9619,1022,325,1984,R36918 033,R36918,1,18,제어압연,제어압연(2단),Y,693,1,1045,727,0,1894,B,916,11,20/01/15 17:01:19,20/01/15 17:14:40,20/01/15 17:15:34,7,B,714,,,,,05TCC15,C,70,봉상,15,0.0645,0.148,1.781,0.007,0.001,0.269,0.003,0.71,0.03,0.04,0.005,0.029,0.002,0.03,0.001,0.028,0.013,4e-04,,40,,2e-04,0.002,0.001,0.002,0.005,0,2e-04,5e-04,5e-04,0.441,0.189,609,526.2,527,527.4,526.2,22,,,,,,,,,,,,,P00376218,617.1,525.4,525.4,525.6,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.9,45,FC180961,903,120,1061,58,1103,47,1037,99,0,0,0,724,400,0,0,401,4,4,4,723,727,718,724,400,402,400,401,0,0,0,1.33,1680,1729,1732,1760,1753,1726,1756,1738,1756,1749,1732,1713,1741,1627,1746,637,626,614,643,640,642,638,627,642,642,639,642,637,637,640,2014,2017,2015,2018,1037,843,910,963,-,40,-,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,384,422,372,393,357,346,351,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,No,,2
