PLATE_WO_T,item,Top_TS_WRSLT,Top_YP_WRSLT,Top_YP_0DOT2_OFFSET,noData
100,mean,634,544,538,135
100,min,562,439,439,135
100,max,690,627,590,135
100,sd,24,25,24,135
50.1,mean,617,519,517,4
50.1,min,571,488,488,4
50.1,max,651,579,575,4
50.1,sd,34,41,39,4
60,mean,643,533,529,2
60,min,630,514,514,2
60,max,656,552,545,2
60,sd,18,27,22,2
65,mean,604,495,495,1
65,min,604,495,495,1
65,max,604,495,495,1
65,sd,-,-,-,1
75,mean,612,515,512,21
75,min,585,473,470,21
75,max,644,550,537,21
75,sd,15,19,17,21
80,mean,624,524,523,19
80,min,584,470,470,19
80,max,669,579,579,19
80,sd,21,28,27,19
85,mean,619,536,531,68
85,min,505,418,408,68
85,max,656,577,577,68
85,sd,19,24,23,68
95,mean,631,543,539,11
95,min,605,510,510,11
95,max,657,570,564,11
95,sd,16,22,19,11
