am,vs,gear,item,mpg,disp,hp,wt,noData
automatic,straight,3,mean,20.333,201,104,3.047,3
automatic,straight,3,min,18.1,120.1,97,2.465,3
automatic,straight,3,max,21.5,258,110,3.46,3
automatic,straight,3,sd,1.935,72,7,0.518,3
automatic,straight,4,mean,21.05,155.7,101,3.305,4
automatic,straight,4,min,17.8,140.8,62,3.15,4
automatic,straight,4,max,24.4,167.6,123,3.44,4
automatic,straight,4,sd,3.07,14,29,0.157,4
automatic,V-shaped,3,mean,15.05,357.6,194,4.104,12
automatic,V-shaped,3,min,10.4,275.8,150,3.435,12
automatic,V-shaped,3,max,19.2,472,245,5.424,12
automatic,V-shaped,3,sd,2.774,71.8,33,0.768,12
manual,straight,4,mean,28.033,88.9,75,2.114,6
manual,straight,4,min,21.4,71.1,52,1.615,6
manual,straight,4,max,33.9,121,109,2.78,6
manual,straight,4,sd,5.119,20.4,21,0.413,6
manual,straight,5,mean,30.4,95.1,113,1.513,1
manual,straight,5,min,30.4,95.1,113,1.513,1
manual,straight,5,max,30.4,95.1,113,1.513,1
manual,straight,5,sd,-,-,-,-,1
manual,V-shaped,4,mean,21,160,110,2.748,2
manual,V-shaped,4,min,21,160,110,2.62,2
manual,V-shaped,4,max,21,160,110,2.875,2
manual,V-shaped,4,sd,0,0,0,0.18,2
manual,V-shaped,5,mean,19.125,229.3,216,2.913,4
manual,V-shaped,5,min,15,120.3,91,2.14,4
manual,V-shaped,5,max,26,351,335,3.57,4
manual,V-shaped,5,sd,5.022,113.9,106,0.61,4
